plan,account,total_fault_count,rank
PKB,PUTRA MUJUR PERKASA ABADI,6756,1
TJG,SAPTAINDRA SEJATI,5706,2
SGT,PAMAPERSADA NUSANTARA,4656,3
SDU,PUTRA PERKASA ABADI,4621,4
JBI,TIGA MUSTIKA AGUNG,4491,5
UPG,QIRANI TRIDAYA KARYA,4428,6
JKT,ANDREAS IAN SETIAWAN,4205,7
TRK,SINAR PERDANA SEJATI,4076,8
MDO,REZA MULTI SARANA,3948,9
SBY,MURIA SUMBA MANIS,3618,10
PLB,GLOBAL ENERGI LESTARI,3464,11
MLW,TRIDEA SENADA,2665,12
PLU,KITA TAMBANG MINERAL,2544,13
PTK,OPERASI DAN PEMELIHARAAN SUMBER DAYA AIR KALIMANTAN I DIREKTORAT JENDERAL SUMBER DAYA AIR KEMENTERIAN PEKERJAAN UMUM,2515,14
BHT,BELENGKONG MINERAL RESOURCES,2408,15
BJM,BORNEO LINTAS DUTA PERDANA,2227,16
TJR,MARINA BARA LESTARI,2220,17
SMD,MULTINDO PRIMA TEKNIK,2155,18
SPT,GRAHA CAKRAMULIA,2065,19
TBG,KARUNIA ARMADA INDONESIA,2056,20
SRG,BERKAT MELIMPAH BERSAMA,2052,21
RTU,NUGRAHA JAYA MAKMUR,1919,22
BDI,SEMESTA MANDIRI INDONESIA,1614,23
JYP,ROSWELL KARYA ABADI,1527,24
BGL,NUSARAYA AGRO SAWIT,1419,25
SMG,KEMBANG ARUM,1384,26
SKL,TRIDEA SENADA,1316,27
BLP,VADHANA INTERNATIONAL,1304,28
TJE,ANTAREJA MAHADA MAKMUR,1292,29
BKJ,UNGGUL DINAMIKA UTAMA,1196,30
PDG,EKA NUSA GLOBAL,1127,31
BTL,AMANAH BORNEO DUA SAUDARA,1095,32
SPR,PANCARAN DARAT TRANSPORT,970,33
MTW,PETROSEA Tbk.,931,34
BIN,PAMAPERSADA NUSANTARA,919,35
MDN,MITRA KARYA JAYA PERDANA,887,36
JBY,SEGARA HERO SAKTI,845,37
BNT,PAMAPERSADA NUSANTARA,814,38
THP,KARUNIA ARMADA INDONESIA,769,39
MTB,ENERGI BUMI SAKTI,741,40
LJN,PUTRA SARANA TRANSBORNEO,719,41
BIU,BANDANG MINING COAL,500,42
SBT,MADHANI TALATAH NUSANTARA,426,43
BNE,UNKNOWN,418,44
BEK,GUNUNGMAS SUKSES MAKMUR,396,45
LRH,SOLUSI KLIK,395,46
LTI,BOSTON TRIKORA MAHARDIKA,367,47
SGA,CIPTA HASIL SUGIARTO,330,48
BLG,GUNUNG MADU PLANTATIONS,301,49
MRW,PUTRA PERKASA ABADI,297,50
MBO,UNKNOWN,265,51
DMI,PAMAPERSADA NUSANTARA,133,52
SBW,UNKNOWN,131,53
ADR,UNKNOWN,127,54
FRP,LINTECH DUTA PRATAMA,111,55
SRK,VALE INDONESIA TBK,103,56
STI,UNKNOWN,36,57
