plan,account,model_type,total_fault_count,rank
ADR,UNKNOWN,PC200-8M0,82,1
ADR,UNKNOWN,PC300-8M0,45,2
BDI,SEMESTA MANDIRI INDONESIA,HM400-3R,816,1
BDI,SEMESTA MANDIRI INDONESIA,HD785-7,248,2
BDI,SEMESTA MANDIRI INDONESIA,PC300-8M0,81,3
BDI,SEMESTA MANDIRI INDONESIA,PC2000-11R,72,4
BDI,SEMESTA MANDIRI INDONESIA,PC210-10M0,68,5
BDI,SEMESTA MANDIRI INDONESIA,D155A-6R,67,6
BDI,SEMESTA MANDIRI INDONESIA,HD785-8R,58,7
BDI,SEMESTA MANDIRI INDONESIA,PC1250-11R,57,8
BDI,SEMESTA MANDIRI INDONESIA,PC200-8M0,45,9
BDI,SEMESTA MANDIRI INDONESIA,PC400LC-8R,24,10
BDI,SEMESTA MANDIRI INDONESIA,PC3400-11M0,22,11
BDI,SEMESTA MANDIRI INDONESIA,GD825A-2,16,12
BDI,SEMESTA MANDIRI INDONESIA,PC850-8R1,16,12
BDI,SEMESTA MANDIRI INDONESIA,PC350LC-8M2,10,13
BDI,SEMESTA MANDIRI INDONESIA,WA800-3,8,14
BDI,SEMESTA MANDIRI INDONESIA,WA500-6R,4,15
BDI,SEMESTA MANDIRI INDONESIA,PC2000-8,2,16
BEK,GUNUNGMAS SUKSES MAKMUR,PC1250-11R,110,1
BEK,GUNUNGMAS SUKSES MAKMUR,PC300-8M0,102,2
BEK,GUNUNGMAS SUKSES MAKMUR,PC2000-11R,40,3
BEK,GUNUNGMAS SUKSES MAKMUR,PC350LC-8M2,38,4
BEK,GUNUNGMAS SUKSES MAKMUR,PC500LC-10R,35,5
BEK,GUNUNGMAS SUKSES MAKMUR,D155A-6R,22,6
BEK,GUNUNGMAS SUKSES MAKMUR,HM400-3R,12,7
BEK,GUNUNGMAS SUKSES MAKMUR,GD825A-2,8,8
BEK,GUNUNGMAS SUKSES MAKMUR,PC210-10M0,7,9
BEK,GUNUNGMAS SUKSES MAKMUR,PC400LC-8R,6,10
BEK,GUNUNGMAS SUKSES MAKMUR,GD705-5,4,11
BEK,GUNUNGMAS SUKSES MAKMUR,PC200-10M0,4,11
BEK,GUNUNGMAS SUKSES MAKMUR,PC850-8R1,4,11
BEK,GUNUNGMAS SUKSES MAKMUR,GD535-5,2,12
BEK,GUNUNGMAS SUKSES MAKMUR,PC200-8M1,2,12
BGL,NUSARAYA AGRO SAWIT,PC210-10M0,195,1
BGL,NUSARAYA AGRO SAWIT,PC200-8M0,166,2
BGL,NUSARAYA AGRO SAWIT,PC200-10M0,155,3
BGL,NUSARAYA AGRO SAWIT,PC1250-11R,148,4
BGL,NUSARAYA AGRO SAWIT,HM400-3R,146,5
BGL,NUSARAYA AGRO SAWIT,PC300-8M0,125,6
BGL,NUSARAYA AGRO SAWIT,PC2000-8,76,7
BGL,NUSARAYA AGRO SAWIT,HD785-7,59,8
BGL,NUSARAYA AGRO SAWIT,PC1250-8,55,9
BGL,NUSARAYA AGRO SAWIT,GD705-5,42,10
BGL,NUSARAYA AGRO SAWIT,WA150-6,42,10
BGL,NUSARAYA AGRO SAWIT,PC2000-11R,40,11
BGL,NUSARAYA AGRO SAWIT,PC400LC-8R,40,11
BGL,NUSARAYA AGRO SAWIT,WA150-5,30,12
BGL,NUSARAYA AGRO SAWIT,HD465-7,26,13
BGL,NUSARAYA AGRO SAWIT,D375A-6,20,14
BGL,NUSARAYA AGRO SAWIT,PC850-8R1,18,15
BGL,NUSARAYA AGRO SAWIT,GD535-5,10,16
BGL,NUSARAYA AGRO SAWIT,D155A-6R,8,17
BGL,NUSARAYA AGRO SAWIT,PC70-8,8,17
BGL,NUSARAYA AGRO SAWIT,PC300-8M2,4,18
BGL,NUSARAYA AGRO SAWIT,D31PX-22,2,19
BGL,NUSARAYA AGRO SAWIT,PC350LC-8M2,2,19
BGL,NUSARAYA AGRO SAWIT,PC500LC-10R,2,19
BHT,BELENGKONG MINERAL RESOURCES,PC300-8M0,586,1
BHT,BELENGKONG MINERAL RESOURCES,PC1250-11R,485,2
BHT,BELENGKONG MINERAL RESOURCES,HD785-7,277,3
BHT,BELENGKONG MINERAL RESOURCES,PC200-8M0,209,4
BHT,BELENGKONG MINERAL RESOURCES,PC210-10M0,139,5
BHT,BELENGKONG MINERAL RESOURCES,PC200-10M0,114,6
BHT,BELENGKONG MINERAL RESOURCES,GD705-5,69,7
BHT,BELENGKONG MINERAL RESOURCES,PC350LC-8M2,68,8
BHT,BELENGKONG MINERAL RESOURCES,WA500-6R,68,8
BHT,BELENGKONG MINERAL RESOURCES,PC400LC-8R,66,9
BHT,BELENGKONG MINERAL RESOURCES,HB365-1,64,10
BHT,BELENGKONG MINERAL RESOURCES,HM400-3R,64,10
BHT,BELENGKONG MINERAL RESOURCES,PC3400-11M0,42,11
BHT,BELENGKONG MINERAL RESOURCES,PC500LC-10R,40,12
BHT,BELENGKONG MINERAL RESOURCES,D155A-6R,26,13
BHT,BELENGKONG MINERAL RESOURCES,PC300-8M2,18,14
BHT,BELENGKONG MINERAL RESOURCES,PC200-8M1,15,15
BHT,BELENGKONG MINERAL RESOURCES,PC850-8R1,12,16
BHT,BELENGKONG MINERAL RESOURCES,GD535-5,10,17
BHT,BELENGKONG MINERAL RESOURCES,GD755-5R,10,17
BHT,BELENGKONG MINERAL RESOURCES,GD825A-2,8,18
BHT,BELENGKONG MINERAL RESOURCES,PC135F-10M0,8,18
BHT,BELENGKONG MINERAL RESOURCES,PC2000-11R,8,18
BHT,BELENGKONG MINERAL RESOURCES,PC130F-7,2,19
BIN,PAMAPERSADA NUSANTARA,HD785-7,439,1
BIN,PAMAPERSADA NUSANTARA,PC300-8M0,176,2
BIN,PAMAPERSADA NUSANTARA,PC2000-11R,102,3
BIN,PAMAPERSADA NUSANTARA,PC350LC-8M2,52,4
BIN,PAMAPERSADA NUSANTARA,PC1250-11R,26,5
BIN,PAMAPERSADA NUSANTARA,WA900-8R,24,6
BIN,PAMAPERSADA NUSANTARA,PC200-8M0,20,7
BIN,PAMAPERSADA NUSANTARA,PC2000-8,18,8
BIN,PAMAPERSADA NUSANTARA,PC400LC-8R,18,8
BIN,PAMAPERSADA NUSANTARA,PC210-10M0,16,9
BIN,PAMAPERSADA NUSANTARA,D375A-6,12,10
BIN,PAMAPERSADA NUSANTARA,D155A-6R,8,11
BIN,PAMAPERSADA NUSANTARA,PC200-10M0,4,12
BIN,PAMAPERSADA NUSANTARA,D375A-6R,2,13
BIN,PAMAPERSADA NUSANTARA,HM400-3R,2,13
BIU,BANDANG MINING COAL,PC300-8M0,136,1
BIU,BANDANG MINING COAL,HD785-8R,86,2
BIU,BANDANG MINING COAL,PC2000-11R,85,3
BIU,BANDANG MINING COAL,PC1250-11R,82,4
BIU,BANDANG MINING COAL,PC3400-11M0,36,5
BIU,BANDANG MINING COAL,PC200-8M0,31,6
BIU,BANDANG MINING COAL,HD785-7,14,7
BIU,BANDANG MINING COAL,PC210-10M0,14,7
BIU,BANDANG MINING COAL,D155A-6R,10,8
BIU,BANDANG MINING COAL,PC350LC-8M2,6,9
BJM,BORNEO LINTAS DUTA PERDANA,HD785-7,394,1
BJM,BORNEO LINTAS DUTA PERDANA,PC200-8M0,377,2
BJM,BORNEO LINTAS DUTA PERDANA,PC300-8M0,304,3
BJM,BORNEO LINTAS DUTA PERDANA,PC200-10M0,243,4
BJM,BORNEO LINTAS DUTA PERDANA,PC210-10M0,196,5
BJM,BORNEO LINTAS DUTA PERDANA,HD465-7,139,6
BJM,BORNEO LINTAS DUTA PERDANA,PC135F-10M0,122,7
BJM,BORNEO LINTAS DUTA PERDANA,PC1250-8,80,8
BJM,BORNEO LINTAS DUTA PERDANA,PC130F-7,64,9
BJM,BORNEO LINTAS DUTA PERDANA,D39PX-22,57,10
BJM,BORNEO LINTAS DUTA PERDANA,PC400LC-8R,41,11
