model_type,fault_name,frequency,percentage
D155A-6R,coolant+decrease in quantity,92,17.73
D155A-6R,rail press low error,58,11.18
D155A-6R,coolant+overheat,54,10.4
D155A-6R,hydraulic pump oil pressure sensor+short circuit,26,5.01
D155A-6R,komtrax gps antenna cable+open circuit,26,5.01
D155A-6R,air cleaner element+clogging,22,4.24
D155A-6R,rail press very low error,20,3.85
D155A-6R,grid htr relay volt low error,18,3.47
D155A-6R,back alarm relay+open circuit,16,3.08
D155A-6R,battery relay+short circuit,16,3.08
D155A-6R,monitor controller can communicaton+malfunction,14,2.7
D155A-6R,power train controller+source voltage drop,14,2.7
D155A-6R,t/c oil+overheat,14,2.7
D155A-6R,alternator+defective function,12,2.31
D155A-6R,throttle sensor low error,12,2.31
D155A-6R,c/r eng cntrlr can communication+communication error (compo line),10,1.93
D155A-6R,"ecmv tm 2nd clutch+command curency on, fill signal off",10,1.93
D155A-6R,shift up switch+open circuit,8,1.54
D155A-6R,steering brake+miss operation or miss setting,8,1.54
D155A-6R,"ecmv tm 2nd clutch+command curency off, fill signal on",6,1.16
D155A-6R,komnet datalink timeout error,6,1.16
D155A-6R,chg air press sensor low error,4,0.77
D155A-6R,"ecmv tm 1st clutch+command curency on, fill signal off",4,0.77
D155A-6R,eng ne and bkup speed sens error,4,0.77
D155A-6R,forward & reverse potentiometer+analog signal doesnt match,4,0.77
D155A-6R,reverse fan pump solenoid valve+open circuit,4,0.77
D155A-6R,throttle sensor high error,4,0.77
D155A-6R,3rd clutch solenoid valve+short circuit,2,0.39
D155A-6R,brake angle sensor+open circuit,2,0.39
D155A-6R,chg air temp sensor high error,2,0.39
D155A-6R,"ecmv tm 3rd clutch+command curency on, fill signal off",2,0.39
D155A-6R,"ecmv tm r-clutch+command curency on, fill signal off",2,0.39
D155A-6R,eng bkup speed sensor error,2,0.39
D155A-6R,fan control solenoid valve+open circuit,2,0.39
D155A-6R,hydraulic oil+overheat,2,0.39
D155A-6R,imv/pcv1 open error,2,0.39
D155A-6R,"left steering brake+command curency on, fill signal off",2,0.39
D155A-6R,monitor controller can communicaton+communication error (compo line),2,0.39
D155A-6R,rail press sensor high error,2,0.39
D155A-6R,"right steering clutch+command curency on, fill signal off",2,0.39
D155A-6R,shift down switch+open circuit,2,0.39
D155A-6R,sudden stop prevent solenoid valve+open circuit,2,0.39
D155A-6R,traveling lock switch(2)+open circuit,2,0.39
D155A-6R,acc signal drive relay+open circuit,1,0.19
D21PL-8,komtrax gps antenna cable+open circuit,8,100.0
D31EX-22,komtrax gps antenna cable+open circuit,108,27.76
D31EX-22,water in fuel sensor high error,48,12.34
D31EX-22,chg air press sensor low error,26,6.68
D31EX-22,rail press low error,24,6.17
D31EX-22,eng ne speed sensor error,20,5.14
D31EX-22,chg air temp sensor high error,14,3.6
D31EX-22,rail press very low error,14,3.6
D31EX-22,air cleaner element+clogging,13,3.34
D31EX-22,alternator+defective function,12,3.08
D31EX-22,monitor controller can communicaton+malfunction,8,2.06
D31EX-22,brake pressure switch+open circuit,6,1.54
D31EX-22,brake pressure switch+short circuit,6,1.54
D31EX-22,hst controller+source voltage drop,6,1.54
D31EX-22,hst oil+low oil pressure,6,1.54
D31EX-22,hydraulic tank temperature sensor+open circuit,6,1.54
D31EX-22,inj #3(l#3) open/short error,6,1.54
D31EX-22,injectors drive circuit error,6,1.54
D31EX-22,monitor controller can communicaton+communication error (compo line),6,1.54
D31EX-22,st controller can communication+communication error (compo line),6,1.54
D31EX-22,throttle lever angle sensor+open circuit,6,1.54
D31EX-22,coolant+overheat,4,1.03
D31EX-22,engine oil+low oil pressure,4,1.03
D31EX-22,throttle sensor low error,4,1.03
D31EX-22,ambient press sens low error,2,0.51
D31EX-22,c/r eng cntrlr can communication+communication error (compo line),2,0.51
D31EX-22,chg air temp sensor low error,2,0.51
D31EX-22,coolant temp sens high error,2,0.51
D31EX-22,fan control solenoid valve+open circuit,2,0.51
D31EX-22,hst filter element+clogging,2,0.51
D31EX-22,hydraulic fan speed sensor+short circuit,2,0.51
D31EX-22,imv/pcv1 open error,2,0.51
D31EX-22,komnet datalink timeout error,2,0.51
D31EX-22,parking switch+open circuit,2,0.51
D31EX-22,rail press high error,2,0.51
D31EX-22,rail press sensor high error,2,0.51
D31EX-22,rail press very high error,2,0.51
D31EX-22,rh-pump reverse epc solenoid valve+open circuit,2,0.51
D31EX-22,safety relay+short circuit,2,0.51
D31PX-22,komtrax gps antenna cable+open circuit,48,23.19
D31PX-22,rail press low error,20,9.66
D31PX-22,water in fuel sensor high error,20,9.66
D31PX-22,ambient press sens low error,12,5.8
D31PX-22,rail press very low error,12,5.8
D31PX-22,air cleaner element+clogging,11,5.31
D31PX-22,brake pressure switch+short circuit,8,3.86
D31PX-22,hst oil+low oil pressure,8,3.86
D31PX-22,right hst motor speed sensor+short circuit,8,3.86
D31PX-22,shift down switch+open circuit,8,3.86
D31PX-22,alternator+defective function,6,2.9
D31PX-22,back-up alarm buzzer+short circuit,6,2.9
D31PX-22,coolant temp sens high error,6,2.9
D31PX-22,eng bkup speed sensor error,6,2.9
D31PX-22,eng ne speed sensor error,6,2.9
D31PX-22,eng oil press sw error,6,2.9
D31PX-22,throttle lever angle sensor+open circuit,6,2.9
D31PX-22,hydraulic tank temperature sensor+open circuit,4,1.93
D31PX-22,parking switch+stick,2,0.97
D31PX-22,throttle lever angle sensor+short circuit,2,0.97
D31PX-22,water in fuel sensor low error,2,0.97
D375A-5,high r cyl. exhaust temp.,83,14.21
D375A-5,very high r cyl. exhaust temp.,82,14.04
D375A-5,high f cyl. exhaust temp.,59,10.1
D375A-5,very high f cyl. exhaust temp.,43,7.36
D375A-5,exhaust temp. sensor f failure,32,5.48
D375A-5,fuel control dial sensor failure(eng),31,5.31
D375A-5,r steering clutch pressure abnormal,29,4.97
D375A-5,exhaust temp. sensor r failure,26,4.45
D375A-5,fsov mech stuck open,22,3.77
D375A-5,2nd clutch failure,18,3.08
D375A-5,t/m oil temp. overheat,18,3.08
D375A-5,high blowby pressure,14,2.4
D375A-5,eng.oil temp. sensor failure,13,2.23
D375A-5,low battery voltage,13,2.23
D375A-5,blowby pressure sensor failure,10,1.71
D375A-5,blade full raise ppc switch failure,8,1.37
D375A-5,high coolant temp,8,1.37
D375A-5,low coolant level,8,1.37
D375A-5,r steering brake pressure abnormal,7,1.2
D375A-5,battery charge trouble,6,1.03
D375A-5,fsov open cicuit,6,1.03
D375A-5,ripper lower ppc switch failure,6,1.03
D375A-5,abnormality in 24v source(s/t),4,0.68
D375A-5,blade r tilt ppc switch failure,4,0.68
D375A-5,pump pressure sensor failure(f),4,0.68
D375A-5,pump pressure sensor failure(r),4,0.68
D375A-5,remote throttle ckt failed low,4,0.68
D375A-5,remote throttle ckt failed high,3,0.51
D375A-5,abnormality in 12v source system(vhms),2,0.34
D375A-5,blade knob up switch failure,2,0.34
D375A-5,ecm software / hardware failure,2,0.34
D375A-5,fuel pump open circuit,2,0.34
D375A-5,fuel pump press ckt failed low,2,0.34
D375A-5,r steering brake abnormal,2,0.34
D375A-5,ripper tilt back ppc switch failure,2,0.34
D375A-5,ripper tilt in ppc switch failure,2,0.34
D375A-5,fuel pump mech stuck,1,0.17
D375A-5,lb boost ckt failed high,1,0.17
D375A-5,p/l clutch slip failure,1,0.17
D375A-6,very high rb cyl. exhaust temp.,194,13.59
D375A-6,high rb cyl. exhaust temp.,192,13.45
D375A-6,very high lb cyl. exhaust temp.,122,8.55
D375A-6,high lb cyl. exhaust temp.,111,7.78
D375A-6,1st clutch failure,103,7.22
D375A-6,l steering brake pressure abnormal,69,4.84
D375A-6,2nd clutch failure,68,4.77
D375A-6,low hydraulic oil level,63,4.41
D375A-6,r steering brake pressure abnormal,56,3.92
D375A-6,exhaust temp. sensor rb failure,55,3.85
D375A-6,fan pid control failure,52,3.64
D375A-6,exhaust temp. sensor lb failure,36,2.52
D375A-6,blowby pressure sensor failure,35,2.45
D375A-6,sampled_throttle_low_error,35,2.45
D375A-6,low coolant level,27,1.89
D375A-6,l/u clutch slip failure,26,1.82
D375A-6,t/m clutch slip failure,22,1.54
D375A-6,r steering clutch pressure abnormal,17,1.19
D375A-6,kom-net communication failure,15,1.05
D375A-6,k-net communication lost(monitor),14,0.98
D375A-6,coolant temp. overheat,10,0.7
D375A-6,fan reverse solenoid failure,10,0.7
D375A-6,fan speed sensor failure,10,0.7
D375A-6,high blowby pressure,8,0.56
D375A-6,air cleaner clogged,6,0.42
D375A-6,apc_diesel_low_prs_error,6,0.42
D375A-6,battery charge trouble,6,0.42
D375A-6,r clutch failure,6,0.42
D375A-6,blade knob up switch failure,5,0.35
D375A-6,brake pedal sensor failure,4,0.28
D375A-6,f clutch failure,4,0.28
D375A-6,fr lever sensor 1 2 failure,4,0.28
