model_type,total_fault_count,rank
HD785-7,19130,1
PC210-10M0,13999,2
PC200-8M0,13464,3
PC200-10M0,7613,4
PC135F-10M0,7245,5
PC300-8M0,6433,6
PC130F-7,5174,7
HM400-3R,4244,8
PC1250-11R,2839,9
PC400LC-8R,2367,10
PC195LC-8,1494,11
D375A-6,1427,12
HD465-7,1407,13
PC200-8M1,1231,14
PC2000-11R,1062,15
PC500LC-10R,916,16
GD535-5,897,17
GD705-5,703,18
PC2000-8,608,19
D375A-5,584,20
WA500-6R,567,21
D155A-6R,519,22
PC1250-8,459,23
GD955-7R,426,24
PC300-8M2,400,25
D31EX-22,389,26
HB365-1,367,27
PC350LC-8M2,365,28
GD755-5R,341,29
WA480-6,281,30
WA380-6,273,31
PC850-8R1,266,32
WA380Z-6,208,33
D31PX-22,207,34
WA200-5,206,35
PC3400-11M0,188,36
PC70-8,167,37
PC160LC-8,147,38
HD785-8R,144,39
WA900-8R,130,40
D39PX-22,130,40
GD825A-2,128,41
HD1500-8,119,42
WA150-5,118,43
WA800-3,92,44
WA150-6,80,45
WA320-5,64,46
PC300LC-8,58,47
D65P-12,56,48
GD511A-1,54,49
D375A-6R,48,50
WA200-6,44,51
HB365LC-1,22,52
PC45MR-3,22,52
HB205-1,18,53
D65E-12,14,54
PC210LC-10M0,12,55
PC300-8,10,56
D21PL-8,8,57
PC200-8,6,58
WA600-3A,6,58
D39EX-22,4,59
